batter,player_name,birth_date,bats,throws
657757,Gavin Sheets,1996-04-23,L,L
658668,Edward Olivares,1996-03-06,R,R
660162,Yoán Moncada,1995-05-27,S,R
660271,Shohei Ohtani,1994-07-05,L,R
660620,Jonathan Araúz,1998-08-03,S,R
660634,Yonny Hernández,1998-05-04,S,R
660636,Diego Castillo,1997-10-28,R,R
660644,Vidal Bruján,1998-02-09,S,R
660670,Ronald Acuña Jr.,1997-12-18,R,R
660688,Keibert Ruiz,1998-07-20,S,R
660707,Elehuris Montero,1998-08-17,R,R
660710,Rodolfo Durán,1998-02-19,R,R
660757,Oscar Gonzalez,1998-01-10,R,R
660758,Sandro Fabian,1998-03-06,R,R
660766,Juan Yepez,1998-02-19,R,R
660821,Jesús Sánchez,1997-10-07,L,R
660844,Leo Rivas,1997-10-10,S,R
661388,William Contreras,1997-12-24,R,R
661531,Brian Serven,1995-05-05,R,R
662139,Daulton Varsho,1996-07-02,L,R
663330,Jahmai Jones,1997-08-04,R,R
663368,Blake Perkins,1996-09-10,S,R
663457,Lars Nootbaar,1997-09-08,L,R
663494,Bryan Torres,1997-07-02,L,R
663527,Tyler Nevin,1997-05-29,R,R
663536,Tristin English,1997-05-14,R,R
663538,Nico Hoerner,1997-05-13,R,R
663550,Trey Cabbage,1997-05-03,L,R
663584,Hayden Senger,1997-04-03,R,R
663586,Austin Riley,1997-04-02,R,R
663604,Brandon Lockridge,1997-03-14,R,R
663609,Luken Baker,1997-03-10,R,R
663611,Nick Madrigal,1997-03-05,R,R
663616,Trevor Larnach,1997-02-26,L,R
663624,Ryan Mountcastle,1997-02-18,R,R
663630,Ryan McKenna,1997-02-14,R,R
663647,Ke'Bryan Hayes,1997-01-28,R,R
663656,Kyle Tucker,1997-01-17,L,R
663662,Daz Cameron,1997-01-15,R,R
663697,Jonathan India,1996-12-15,R,R
663698,Joey Bart,1996-12-15,R,R
663728,Cal Raleigh,1996-11-26,S,R
663731,Connor Kaiser,1996-11-20,R,R
663743,Nick Fortes,1996-11-11,R,R
663757,Trent Grisham,1996-11-01,L,L
663796,Coco Montes,1996-10-07,R,R
663837,Matt Vierling,1996-09-16,R,R
663845,Alfonso Rivas III,1996-09-13,L,L
663853,Romy Gonzalez,1996-09-06,R,R
663886,Tyler Stephenson,1996-08-16,R,R
663897,Luke Williams,1996-08-09,R,R
663898,Brendan Rodgers,1996-08-09,R,R
663905,Travis Blankenhorn,1996-08-03,L,R
663967,César Salazar,1996-03-15,L,R
663968,Jake Mangum,1996-03-08,S,L
