batter,player_name,birth_date,bats,throws
676694,Jake Meyers,1996-06-18,R,L
676701,Alan Trejo,1996-05-30,R,R
676724,Jared Young,1995-07-09,L,R
676761,Irving Lopez,1995-06-30,L,R
676801,Chas McCormick,1995-04-19,R,L
676812,Carson McCusker,1998-05-22,R,R
676882,Chandler Seagle,1996-05-23,R,R
676896,Chris Roller,1996-10-08,R,R
676914,Davis Schneider,1999-01-26,R,R
676946,Matthew Batten,1995-06-22,R,R
677008,Heston Kjerstad,1999-02-12,L,R
677060,Chad Stevens,1999-02-03,R,R
677347,Kyren Paris,2001-11-11,R,R
677551,Wander Franco,2001-03-01,S,R
677587,Brayan Rocchio,2001-01-13,S,R
677588,José Tena,2001-03-20,L,R
677592,Everson Pereira,2001-04-10,R,R
677594,Julio Rodríguez,2000-12-29,R,R
677595,Ronny Mauricio,2001-04-04,S,R
677649,Ezequiel Duran,1999-05-22,R,R
677800,Wilyer Abreu,1999-06-24,L,L
677870,Leo Jiménez,2001-05-17,R,R
677941,Jordyn Adams,1999-10-18,R,R
677942,Blaze Alexander,1999-06-11,R,R
677943,Will Banfield,1999-11-18,R,R
677950,Alek Thomas,2000-04-28,L,L
677951,Bobby Witt Jr.,2000-06-14,R,R
677956,Rece Hinds,2000-09-05,R,R
678009,Parker Meadows,1999-11-02,L,R
678011,Anthony Seigler,1999-06-20,S,S
678218,Brandon Valenzuela,2000-10-02,S,R
678225,Jihwan Bae,1999-07-26,L,R
678246,Miguel Vargas,1999-11-17,R,R
678391,Jorbit Vivas,2001-03-09,L,R
678489,Jorge Barrosa,2001-02-17,S,L
678545,Osleivis Basabe,2000-09-13,R,R
678554,Curtis Mead,2000-10-26,R,R
678577,Junior Perez,2001-07-04,R,R
678662,Ezequiel Tovar,2001-08-01,R,R
678760,Eddys Leonard,2000-11-10,R,R
678877,Jhonkensy Noel,2001-07-15,R,R
678882,Ceddanne Rafaela,2000-09-18,R,R
678894,Liover Peguero,2000-12-31,R,R
679032,Johan Rojas,2000-08-14,R,R
679529,Spencer Torkelson,1999-08-26,R,R
679631,Terrin Vavra,1997-05-12,L,R
679822,Justin Foscue,1999-03-02,R,R
679845,Nick Loftin,1998-09-25,R,R
679881,J.P. Martínez,1996-03-21,L,L
680118,Dairon Blanco,1993-04-26,R,R
680418,Tyler Cropley,1995-12-10,R,R
680474,Max Schuemann,1997-06-11,R,R
680574,Matt McLain,1999-08-06,R,R
680577,DaShawn Keirsey Jr.,1997-05-13,L,L
680664,Eduardo Valencia,2000-01-25,R,R
680700,Richie Palacios,1997-05-16,L,R
680716,Jonathan Ornelas,2000-05-26,R,R
680718,Addison Barger,1999-11-12,L,R
680728,Adrian Del Castillo,1999-09-27,L,R
680737,Michael Helman,1996-05-23,R,R
680757,Steven Kwan,1997-09-05,L,L
680769,CJ Alexander,1996-07-17,L,R
680776,Jarren Duran,1996-09-05,L,R
680777,Ryan Jeffers,1997-06-03,R,R
680779,Henry Davis,1999-09-21,R,R
680837,Ryan Fitzgerald,1994-06-17,L,R
680862,Willie MacIver,1996-10-28,R,R
680869,Zack Gelof,1999-10-19,R,R
680911,Owen Miller,1996-11-15,R,R
680977,Brendan Donovan,1997-01-16,L,R
681047,Christian Franklin,1999-11-30,R,R
681082,Bryson Stott,1997-10-06,L,R
681146,Jonah Bride,1995-12-27,R,R
681190,Randy Vásquez,1998-11-03,R,R
681198,TJ Rumfield,2000-05-17,L,R
681230,BJ Murray Jr.,2000-01-05,S,R
681297,Colton Cowser,2000-03-20,L,R
681351,Logan O'Hoppe,2000-02-09,R,R
681393,Connor Norby,2000-06-08,R,R
681460,Brooks Baldwin,2000-08-15,S,R
681481,Kerry Carpenter,1997-09-02,L,R
681508,Mickey Gasper,1995-10-11,S,R
681546,James Outman,1997-05-14,L,R
681584,David Villar,1997-01-27,R,R
681624,Andy Pages,2000-12-08,R,R
681715,Heriberto Hernández,1999-12-16,R,R
681807,David Fry,1995-11-20,R,R
681909,Justin Dean,1996-12-06,R,R
681962,Vinny Capra,1996-07-07,R,R
681987,Nate Eaton,1996-12-22,R,R
682073,David Hensley,1996-03-28,R,R
682119,Levi Jordan,1995-09-24,R,R
682177,Daniel Schneemann,1997-01-23,L,R
682183,Drew Avans,1996-06-13,L,L
682515,Logan Porter,1995-07-12,R,R
682617,Marco Luciano,2001-09-10,R,R
682619,Orelvis Martinez,2001-11-19,R,R
682622,Noelvi Marte,2001-10-16,R,R
682626,Francisco Alvarez,2001-11-19,R,R
682634,Kevin Alcántara,2002-07-12,R,R
682641,Luis Matos,2002-01-28,R,R
682653,Warming Bernabel,2002-06-06,R,R
682657,Angel Martínez,2002-01-27,S,R
682663,Agustín Ramírez,2001-09-10,R,R
682668,Luisangel Acuña,2002-03-12,R,R
682674,Victor Bericoto,2001-12-03,R,R
682729,Jonatan Clase,2002-05-23,S,R
682818,Yohendrick Piñango,2002-05-07,L,L
682829,Elly De La Cruz,2002-01-11,S,R
682848,Endy Rodríguez,2000-05-26,S,R
682868,Bryan Ramos,2002-03-12,R,R
682877,Juan Brito,2001-09-24,S,R
682927,Ronny Simon,2000-04-17,S,R
682928,CJ Abrams,2000-10-03,L,R
682985,Riley Greene,2000-09-28,L,L
682987,Spencer Jones,2001-05-14,L,L
682988,Tyler Locklear,2000-11-24,R,R
682989,Victor Mederos,2001-06-08,R,R
682997,Tyler Callihan,2000-06-22,L,R
682998,Corbin Carroll,2000-08-21,L,L
683002,Gunnar Henderson,2001-06-29,L,R
683004,Jack Leiter,2000-04-21,R,R
683011,Anthony Volpe,2001-04-28,R,R
683021,Michael Stefanic,1996-02-24,R,R
683079,Omar Martinez,2001-07-05,L,R
683083,Nasim Nuñez,2000-08-18,S,R
683090,Matthew Lugo,2001-05-09,R,R
683146,Brett Baty,1999-11-13,L,R
683227,Cody Freeman,2001-01-05,R,R
683357,Owen Caissie,2002-07-08,L,R
683679,Jesus Rodriguez,2002-04-23,R,R
683734,Andrew Vaughn,1998-04-03,R,R
683737,Michael Busch,1997-11-09,L,R
683748,Victor Mesa Jr.,2001-09-08,L,L
683766,Christian Koss,1998-01-27,R,R
683770,Will Robertson,1997-12-26,L,L
683953,Travis Bazzana,2002-08-28,L,R
685133,Wade Meckler,2000-04-21,L,R
685301,Matt Gorski,1997-12-22,R,R
685744,Kenedy Corona,2000-03-21,R,R
686217,Sal Frelick,2000-04-19,L,R
686452,Drew Millas,1998-01-15,S,R
686469,Vinnie Pasquantino,1997-10-10,L,L
686475,Tyler Tolbert,1998-01-27,R,R
686482,Logan Driscoll,1997-11-03,L,R
686490,Cam Eden,1998-03-31,R,R
686527,Dominic Canzone,1997-08-16,L,R
686531,Andre Lipcius,1998-05-22,R,R
686554,Oliver Dunn,1997-09-02,L,R
686555,Isaac Collins,1997-07-22,S,R
686611,Dylan Crews,2002-02-26,R,R
686668,Brenton Doyle,1998-05-14,R,R
686676,Korey Lee,1998-07-25,R,R
686681,Michael Massey,1998-03-22,L,R
686759,TJ Hopkins,1997-01-16,R,R
686765,Nick Sogard,1997-09-09,S,R
686780,Pedro Pagés,1998-09-17,R,R
686797,Brooks Lee,2001-02-14,S,R
686823,Will Brennan,1998-02-02,L,L
686894,Joey Wiemer,1999-02-11,R,R
686948,Drake Baldwin,2001-03-28,L,R
687066,Eric Yang,1998-03-26,R,R
687093,Vaughn Grissom,2001-01-05,R,R
687221,Dalton Rushing,2001-02-21,L,R
687231,Darell Hernaiz,2001-08-03,R,R
687263,Zach Neto,2001-01-31,R,R
687282,Gabriel Rincones Jr.,2001-03-03,L,R
687363,Victor Scott II,2001-02-12,L,L
687394,Jack Brannigan,2001-03-11,R,R
687401,Joey Ortiz,1998-07-14,R,R
687462,Spencer Horwitz,1997-11-14,L,R
687478,Cam Devanney,1997-04-13,R,R
687515,Colby Thomas,2001-01-26,R,R
687529,Grant McCray,2000-12-07,L,R
687551,Drew Gilbert,2000-09-27,L,L
687597,Jordan Beck,2001-04-19,R,R
687605,Andrew Pinckney,2000-12-07,R,R
687637,Dylan Beavers,2001-08-11,L,R
687749,Jase Bowen,2000-09-02,R,R
687799,Cade Marlowe,1997-06-24,L,R
687859,Troy Johnston,1997-06-22,L,L
687952,Christian Encarnacion-Strand,1999-12-01,R,R
687957,Dustin Harris,1999-07-08,L,R
688363,Graham Pauley,2000-09-24,L,R
688760,Blaine Crim,1997-06-17,R,R
689041,Rhylan Thomas,2000-04-15,L,L
689172,Brett Wisely,1999-05-08,L,R
689200,Jacob Melton,2000-09-07,L,L
689414,Liam Hicks,1999-06-02,L,R
690022,Ryan Ritter,2000-11-10,R,R
690291,Jace Jung,2000-10-04,L,R
690924,Braxton Fulford,1998-12-09,R,R
690976,Alex Freeland,2001-08-24,S,R
690984,Petey Halpin,2002-05-26,L,R
690987,Robert Hassell III,2001-08-15,L,L
690993,Colt Keith,2001-08-14,L,R
691002,Yohandy Morales,2001-10-09,R,R
691011,Drew Romo,2001-08-29,S,R
691016,Tyler Soderstrom,2001-11-24,L,R
691019,Kyle Teel,2002-02-15,L,R
691023,Jordan Walker,2002-05-22,R,R
691026,Masyn Winn,2002-03-21,R,R
691176,Jasson Domínguez,2003-02-07,S,R
691181,Emmanuel Rodriguez,2003-02-28,L,L
691182,Adael Amador,2003-04-11,S,R
691185,Maximo Acosta,2002-10-29,R,R
691277,Deyvison De Los Santos,2003-06-21,R,R
691373,Jhostynxon Garcia,2002-12-11,R,R
691406,Junior Caminero,2003-07-05,R,R
691458,Blaze Jordan,2002-12-19,R,R
691594,Javier Sanoja,2002-09-03,R,R
691620,Jeferson Quero,2002-10-08,R,R
691718,Pete Crow-Armstrong,2002-03-25,L,L
691720,Kyle Karros,2002-07-26,R,R
691723,Coby Mayo,2001-12-10,R,R
691728,Zac Veen,2001-12-12,L,R
691740,Daniel Susac,2001-05-14,R,R
691777,Max Muncy,2002-08-25,R,R
691781,Brady House,2003-06-04,R,R
691783,Jordan Lawlar,2002-07-17,R,R
691785,Marcelo Mayer,2002-12-12,L,R
691788,Joe Mack,2002-12-27,L,R
691858,Jared Serna,2002-06-01,R,R
691907,Tsung-Che Cheng,2001-07-26,L,R
692216,CJ Kayfus,2001-10-28,L,L
692225,Kristian Campbell,2002-06-28,R,R
692585,Yanquiel Fernández,2003-01-01,L,L
693049,Oscar Colás,1998-09-17,L,L
693304,Nick Gonzales,1999-05-27,R,R
693307,Dillon Dingler,1998-09-17,R,R
693409,César Prieto,1999-05-10,L,R
693459,Kyler Fedko,1999-09-21,R,R
694025,Felix Reyes,2001-03-26,R,R
694175,Pedro León,1998-05-28,R,R
694192,Jackson Chourio,2004-03-11,R,R
694197,Angel Genao,2004-05-19,S,R
694203,Denzer Guzman,2004-02-08,R,R
694208,Moisés Ballesteros,2003-11-08,L,R
694212,Samuel Basallo,2004-08-13,L,R
694224,Gabriel Gonzalez,2004-01-04,R,R
694249,Cole Carrigg,2002-05-08,S,R
694355,Tyler Gentry,1999-02-01,R,R
694359,Niko Kavadas,1998-10-27,L,R
694362,Blake Dunn,1998-09-05,R,R
694371,Tommy Troy,2002-01-17,R,R
694374,Tim Tawa,1999-04-07,R,R
694376,Shay Whitcomb,1998-09-28,R,R
694377,Nick Yorke,2002-04-02,R,R
694378,Jacob Gonzalez,2002-05-30,L,R
694384,Nolan Schanuel,2002-02-14,L,R
694388,Joey Loperfido,1999-05-11,L,R
694410,LuJames Groover,2002-04-16,R,R
694497,Evan Carter,2002-08-29,L,R
694514,Sterlin Thompson,2001-06-26,L,R
694671,Wyatt Langford,2001-11-15,R,R
694673,Abimelec Ortiz,2002-02-22,L,L
694728,Brice Matthews,2002-03-16,R,R
694876,Cooper Ingle,2002-02-23,L,R
695020,Tanner Murray,1999-09-03,R,R
695238,Will Wagner,1998-07-29,L,R
695257,Billy Cook,1999-01-07,R,R
695336,Thomas Saggese,2002-04-10,R,R
695391,Brett Harris,1998-06-24,R,R
695490,Edwin Arroyo,2003-08-25,S,R
695491,Joshua Báez,2003-06-28,R,R
695506,Jac Caglianone,2003-02-09,L,L
695508,Cam Cauley,2003-02-06,R,R
695578,James Wood,2002-09-17,L,R
695600,Carter Jensen,2003-07-03,L,R
695657,Colson Montgomery,2002-02-27,L,R
695670,Harry Ford,2003-02-21,R,R
695681,Christian Moore,2002-10-21,R,R
695720,Tommy White,2003-03-02,R,R
695731,Braden Montgomery,2003-04-16,S,R
695734,Daylen Lile,2002-11-30,L,R
696030,Alejandro Osuna,2002-10-10,L,L
696100,Hunter Goodman,1999-10-08,R,R
696135,Kahlil Watson,2003-04-16,L,R
696285,Jacob Young,1999-07-27,R,R
699013,Esmerlyn Valdez,2004-01-27,R,R
699024,Leo Bernal,2004-02-13,S,R
699115,Carlos Jorge,2003-09-22,L,R
699302,Héctor Rodríguez,2004-03-11,L,R
699393,Pedro Ramírez,2004-04-01,S,R
699625,Jimmy Crooks,2001-07-19,L,R
699912,Jose Fernandez,2003-09-22,R,R
700242,Trey Sweeney,2000-04-24,L,R
700246,Carson Williams,2003-06-25,R,R
700250,Ben Rice,1999-02-22,L,R
700337,Edgar Quero,2003-04-06,S,R
700652,Kenny Piper,1998-07-12,R,R
700932,Kyle Manzardo,2000-07-18,L,R
701162,Ben Malgeri,2000-01-12,R,R
701305,Zach Dezenzo,2000-05-11,R,R
701350,Roman Anthony,2004-05-13,L,R
701358,Cam Smith,2003-02-22,R,R
701398,Sal Stewart,2003-12-07,R,R
701538,Jackson Merrill,2003-04-19,L,R
701649,James Triantos,2003-01-29,R,R
701675,Nathan Church,2000-07-12,L,L
701678,Hao-Yu Lee,2003-02-03,R,R
701762,Nick Kurtz,2003-03-12,L,L
701785,Kaelen Culpepper,2002-12-29,R,R
701807,Carson Benge,2003-01-20,L,R
701852,Drew Cavanaugh,2002-01-27,L,R
702176,Alan Roden,1999-12-22,L,R
702222,Justin Crawford,2004-01-13,L,R
702284,Cole Young,2003-07-29,L,R
702332,Caleb Durbin,2000-02-22,R,R
702358,Trey Lipscomb,2000-06-14,R,R
702616,Jackson Holliday,2003-12-04,L,R
703155,Lazaro Montes,2004-10-22,L,R
703197,Michael Arroyo,2004-11-03,R,R
703492,Nick Morabito,2003-05-07,R,R
703520,Brett Bateman,2002-03-19,L,L
703601,Max Clark,2004-12-21,L,L
703607,Henry Bolte,2003-08-04,R,R
800050,Chase DeLauter,2001-10-08,L,L
800325,Luis Lara,2004-11-17,S,R
800543,Josue De Paula,2005-05-24,L,L
801126,Brock Rodden,2000-05-25,S,R
801501,Nate Furman,2001-07-23,L,R
802139,JJ Wetherholt,2002-09-10,L,R
802415,Chandler Simpson,2000-11-18,L,R
803011,Sam Antonacci,2003-02-06,L,R
804606,Konnor Griffin,2006-04-24,R,R
804668,Rafael Flores Jr.,2000-11-07,R,R
805249,Otto Kemp,1999-09-09,R,R
805300,Jakob Marsee,2001-06-28,L,L
805346,Ben Ross,2001-06-06,R,R
805347,Jim Jarvis,2000-11-06,L,R
805367,Chase Meidroth,2001-07-23,R,R
805373,Nacho Alvarez Jr.,2003-04-11,R,R
805672,Collin Price,1999-11-15,R,R
805779,Jacob Wilson,2002-03-30,R,R
805805,Walker Jenkins,2005-02-19,L,R
805808,Kevin McGonigle,2004-08-18,L,R
805811,Bryce Eldridge,2004-10-20,L,R
805904,Zach Cole,2000-08-04,L,R
805999,A.J. Ewing,2004-08-10,L,R
806068,Colt Emerson,2005-07-20,L,R
806146,George Lombard Jr.,2005-06-02,R,R
806198,Cooper Pratt,2004-08-18,R,R
806367,Turner Hill,1999-04-04,L,L
806956,Ethan Salas,2006-06-01,L,R
807712,Luke Keaschall,2002-08-15,R,R
807713,Matt Shaw,2001-11-06,R,R
807726,John Peck,2002-07-18,R,R
807727,Charles McAdoo,2002-03-06,R,R
807747,Rikuu Nishida,2001-05-06,L,R
807799,Masataka Yoshida,1993-07-15,L,R
808959,Munetaka Murakami,2000-02-02,L,R
808975,Hyeseong Kim,1999-01-27,L,R
808982,Jung Hoo Lee,1998-08-20,L,R
810938,Ben Williamson,2000-11-05,R,R
811965,Joshua Kuroda-Grauer,2003-01-31,R,R
813841,Jonah Cox,2001-08-04,R,R
814154,Scott Bandura,2001-08-02,L,R
814430,Brett Callahan,2001-11-02,L,R
814439,Ryan Waldschmidt,2002-10-07,R,R
815873,Sean Keys,2003-05-26,L,R
823550,Sung-Mun Song,1996-08-29,L,R
828599,Lucas Spence,2003-01-27,L,L
829272,Shinnosuke Ogasawara,1997-10-08,L,L
