player_id,player_name,n_exposures,posterior_mean,posterior_median,posterior_sd,cri90_low,cri50_low,cri50_high,cri90_high,prob_above_league_mean,prob_above_league_median,prob_positive,prob_top_quartile,prob_top_decile,prob_bottom_decile,rank_median,rank_cri50_low,rank_cri50_high,rank_cri90_low,rank_cri90_high,rank_population_size
543510,James McCann,92,0.029432268750399185,0.028396112281675503,0.04642926983034421,-0.046132457705363714,-0.0005023626463269711,0.06012126448163643,0.10614915265255068,0.5522,0.552,0.7452,0.2944,0.1212,0.073,233.0,111.0,365.0,22.0,483.0,520
681987,Nate Eaton,63,0.029415367515652338,0.02857297899190092,0.045068361237512816,-0.04427550339543852,0.0009262189281973418,0.05856313567079029,0.10448352161704286,0.56,0.561,0.7572,0.2882,0.1134,0.0762,231.0,115.0,362.0,22.0,485.0500000000002,520
641343,Jake Bauers,151,0.02931899542039169,0.02854250058471445,0.043555192648258426,-0.042108652957112816,0.0007098056104873928,0.05764033533140577,0.10131003703544067,0.549,0.551,0.7548,0.283,0.1124,0.0632,234.0,116.0,358.0,24.0,477.0,520
679529,Spencer Torkelson,375,0.02928630224832866,0.0286217775835364,0.0432061431389558,-0.040296798532118844,0.0013622379821515648,0.058184336410404124,0.10012872436710575,0.562,0.5608,0.759,0.2848,0.1042,0.062,230.5,116.0,354.0,27.950000000000017,478.0,520
571448,Nolan Arenado,271,0.029119475492654225,0.028744488438014575,0.043173206471666115,-0.04143495800245877,0.0007030269207587668,0.05692208331684456,0.10166027617440737,0.5522,0.5534,0.7564,0.2744,0.1052,0.0602,234.0,120.75,360.0,26.0,478.0500000000002,520
686475,Tyler Tolbert,42,0.028913710653985163,0.028573364709399307,0.046314782528246806,-0.04749961866541823,-0.0008971763476333242,0.05928258976207552,0.10391396308862569,0.5566,0.5588,0.743,0.2952,0.1196,0.075,233.0,109.75,365.0,22.0,484.0500000000002,520
686894,Joey Wiemer,48,0.02888556377073511,0.028244046940177767,0.04625178157755805,-0.046090439089808456,-0.0014052742362191683,0.05786723882209793,0.10677091822384688,0.55,0.5512,0.7388,0.2882,0.125,0.0758,234.0,113.0,366.0,21.0,484.0,520
702284,Cole Young,139,0.028831709903995414,0.02873637349390134,0.04258348556602906,-0.042199698908647346,0.0015414210796250707,0.0559163502560819,0.09959935031998308,0.5614,0.5582,0.7638,0.271,0.1056,0.0626,234.0,121.0,358.0,29.0,478.0,520
678246,Miguel Vargas,342,0.028725323026097743,0.028614462642592816,0.04214466989082623,-0.041423316660620206,0.001597647728583077,0.05603765918957532,0.0995773086086009,0.5582,0.5582,0.759,0.268,0.1048,0.0628,233.0,121.0,359.0,28.0,478.0,520
660821,Jesús Sánchez,295,0.02869704300049505,0.0282739270631207,0.04468552792450461,-0.04581251611891808,-0.0007022735010443737,0.05786559250547238,0.10241443016405576,0.5472,0.5474,0.7462,0.2876,0.1152,0.0738,235.0,112.0,367.0,25.0,482.0,520
543309,Kyle Higashioka,188,0.028685625985081713,0.027367715905742565,0.043958142327066546,-0.041287791421629125,0.00014369272012002042,0.057226492868792965,0.10169498019668226,0.5438,0.5444,0.7516,0.2762,0.1058,0.0644,238.0,119.75,363.0,27.0,479.0,520
