model,outcome,season,player_id,player_name,prior_same_type_pitches,change_ci90_low,change_median,change_ci90_high
pooled_geometry,distortion,2026,641857,Ryan McMahon,6,-0.17661080849180288,-0.07035928220724715,0.030489124958415968
pooled_geometry,distortion,2026,641857,Ryan McMahon,7,-0.1887301179172161,-0.07518744600594905,0.03258133631646703
pooled_geometry,distortion,2026,641857,Ryan McMahon,8,-0.19942010643697972,-0.07944618829628396,0.03442679752332308
pooled_geometry,distortion,2025,641933,Tyler O'Neill,0,0.0,0.0,0.0
pooled_geometry,distortion,2025,641933,Tyler O'Neill,1,-0.045635106387483346,-0.012205817758959236,0.02436089354957109
pooled_geometry,distortion,2025,641933,Tyler O'Neill,2,-0.07232993234058162,-0.019345763438586735,0.038611102760130085
pooled_geometry,distortion,2025,641933,Tyler O'Neill,3,-0.09127021277496669,-0.024411635517918473,0.04872178709914218
pooled_geometry,distortion,2025,641933,Tyler O'Neill,4,-0.1059614356342713,-0.028341031175602556,0.05656424314930944
pooled_geometry,distortion,2025,641933,Tyler O'Neill,5,-0.11796503872806496,-0.031551581197545975,0.06297199630970117
pooled_geometry,distortion,2025,641933,Tyler O'Neill,6,-0.12811394053552377,-0.03426606256335233,0.06838967441210973
pooled_geometry,distortion,2025,641933,Tyler O'Neill,7,-0.13690531916245002,-0.03661745327687771,0.07308268064871327
pooled_geometry,distortion,2025,641933,Tyler O'Neill,8,-0.14465986468116324,-0.03869152687717347,0.07722220552026017
pooled_geometry,distortion,2026,641933,Tyler O'Neill,0,-0.0,-0.0,0.0
pooled_geometry,distortion,2026,641933,Tyler O'Neill,1,-0.05623185885417284,-0.01727504544058211,0.02058956447761721
pooled_geometry,distortion,2026,641933,Tyler O'Neill,2,-0.08912538762970888,-0.02738029922157663,0.03263368760320366
pooled_geometry,distortion,2026,641933,Tyler O'Neill,3,-0.11246371770834568,-0.03455009088116422,0.04117912895523442
pooled_geometry,distortion,2026,641933,Tyler O'Neill,4,-0.1305663329012446,-0.04011141334894343,0.04780748822207424
pooled_geometry,distortion,2026,641933,Tyler O'Neill,5,-0.14535724648388174,-0.04465534466215874,0.053223252080820876
pooled_geometry,distortion,2026,641933,Tyler O'Neill,6,-0.1578627857307106,-0.04849718384638695,0.05780221517926108
pooled_geometry,distortion,2026,641933,Tyler O'Neill,7,-0.16869557656251852,-0.05182513632174632,0.06176869343285163
pooled_geometry,distortion,2026,641933,Tyler O'Neill,8,-0.17825077525941777,-0.05476059844315326,0.06526737520640732
pooled_geometry,distortion,2025,641943,Joshua Palacios,0,0.0,-0.0,0.0
pooled_geometry,distortion,2025,641943,Joshua Palacios,1,-0.05466673928793552,-0.019385415664851163,0.015716477867104447
pooled_geometry,distortion,2025,641943,Joshua Palacios,2,-0.08664473180807776,-0.030725156889681582,0.02491002806277457
pooled_geometry,distortion,2025,641943,Joshua Palacios,3,-0.10933347857587104,-0.03877083132970233,0.031432955734208894
pooled_geometry,distortion,2025,641943,Joshua Palacios,4,-0.12693223780854024,-0.04501154126328749,0.03649253151230523
pooled_geometry,distortion,2025,641943,Joshua Palacios,5,-0.14131147109601327,-0.050110572554532745,0.04062650592987902
pooled_geometry,distortion,2025,641943,Joshua Palacios,6,-0.1534689396128256,-0.0544217420828525,0.04412173149762507
pooled_geometry,distortion,2025,641943,Joshua Palacios,7,-0.16400021786380656,-0.05815624699455349,0.047149433601313344
pooled_geometry,distortion,2025,641943,Joshua Palacios,8,-0.17328946361615552,-0.061450313779363164,0.04982005612554914
pooled_geometry,distortion,2026,642020,Chuckie Robinson,0,0.0,-0.0,0.0
pooled_geometry,distortion,2026,642020,Chuckie Robinson,1,-0.054922301551696494,-0.012075226852089177,0.03039104933377948
pooled_geometry,distortion,2026,642020,Chuckie Robinson,2,-0.08704978841273832,-0.01913878174826252,0.04816867355160716
pooled_geometry,distortion,2026,642020,Chuckie Robinson,3,-0.10984460310339299,-0.024150453704178353,0.06078209866755896
pooled_geometry,distortion,2026,642020,Chuckie Robinson,4,-0.12752563500875985,-0.028037808480004145,0.07056583128121043
pooled_geometry,distortion,2026,642020,Chuckie Robinson,5,-0.1419720899644348,-0.031214008600351693,0.07855972288538664
pooled_geometry,distortion,2026,642020,Chuckie Robinson,6,-0.15418639359188716,-0.0338994475381747,0.0853184619336813
pooled_geometry,distortion,2026,642020,Chuckie Robinson,7,-0.16476690465508947,-0.03622568055626753,0.09117314800133844
pooled_geometry,distortion,2026,642020,Chuckie Robinson,8,-0.17409957682547664,-0.03827756349652504,0.09633734710321432
pooled_geometry,distortion,2025,642086,Dominic Smith,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,642086,Dominic Smith,1,-0.055785865012992465,-0.020699965139198785,0.013279387405104714
pooled_geometry,distortion,2025,642086,Dominic Smith,2,-0.08841850411588541,-0.03280866851186526,0.021047331069639796
pooled_geometry,distortion,2025,642086,Dominic Smith,3,-0.11157173002598493,-0.04139993027839757,0.026558774810209428
pooled_geometry,distortion,2025,642086,Dominic Smith,4,-0.12953076727126117,-0.04806383061989464,0.030833782698806024
pooled_geometry,distortion,2025,642086,Dominic Smith,5,-0.14420436912887785,-0.05350863365106404,0.034326718474744514
pooled_geometry,distortion,2025,642086,Dominic Smith,6,-0.1566107227254655,-0.05811214901995052,0.037279953593630476
pooled_geometry,distortion,2025,642086,Dominic Smith,7,-0.16735759503897737,-0.06209989541759635,0.039838162215314145
pooled_geometry,distortion,2025,642086,Dominic Smith,8,-0.17683700823177081,-0.06561733702373052,0.04209466213927959
pooled_geometry,distortion,2026,642086,Dominic Smith,0,0.0,0.0,0.0
pooled_geometry,distortion,2026,642086,Dominic Smith,1,-0.03335150008114773,0.006310775271220686,0.048915890894281965
pooled_geometry,distortion,2026,642086,Dominic Smith,2,-0.05286087697141775,0.010002342155363173,0.07752985275680438
pooled_geometry,distortion,2026,642086,Dominic Smith,3,-0.06670300016229545,0.012621550542441372,0.09783178178856393
pooled_geometry,distortion,2026,642086,Dominic Smith,4,-0.07743978504505505,0.014653166402767724,0.11357918135387819
