stage,specification,x,y,restriction,high_information,negative_control,method,endpoint,estimate,ci90_low,ci90_high,permutation_p_positive,permutation_p_two_sided,permutation_null_mean,permutations,bootstrap_replicates,shared_players,median_n_a,median_n_b,min_n_a,min_n_b,median_games_a,median_games_b,median_information_a,median_information_b,median_se_a,median_se_b,median_shrinkage_a,median_shrinkage_b,score_se_spearman_a,score_se_spearman_b,se_stability_spearman,top_quartile_baseline_n,status,bh_q_positive,bh_q_two_sided,by_q_positive,family_tests
discovery,absz_attack_direction__log_exposure_type,log_exposure_type,absz_attack_direction,all,False,False,unpooled,spearman,-0.01062379983376802,-0.09553370699280335,0.08460868179799712,0.582,0.8359,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,94.32682094805693,88.60065730110864,0.06584835355973703,0.06637320132016707,0.18737512172386203,0.25084675960652975,0.031073438231444594,-0.005055745034536126,0.4371294412121559,85,ok,0.6983999999999999,0.8810837837837837,1.0,156
discovery,absz_attack_direction__log_exposure_type,log_exposure_type,absz_attack_direction,all,False,False,pooled,spearman,-0.027499450670182377,-0.1068344590802046,0.05667492157677171,0.6961,0.6004,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,94.32682094805693,88.60065730110864,0.06584835355973703,0.06637320132016707,0.18737512172386203,0.25084675960652975,0.024687837360159733,-0.018047156382257123,0.4371294412121559,97,ok,0.7825628571428572,0.743352380952381,1.0,156
discovery,absz_attack_direction__log_kernel_exposure,log_kernel_exposure,absz_attack_direction,all,False,False,unpooled,spearman,0.05036446839203997,-0.041924770779163484,0.13633461570520122,0.1669,0.3276,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,30.65579793140214,30.49812547284944,0.10930764392373546,0.11067229729012064,0.232395936903525,0.3305253827182525,0.009421245211277025,0.011285145166375282,0.44048465220257366,83,ok,0.37086399999999997,0.6679463414634147,1.0,156
discovery,absz_attack_direction__log_kernel_exposure,log_kernel_exposure,absz_attack_direction,all,False,False,pooled,spearman,0.026215213092201428,-0.06813438415798131,0.11574787639634614,0.3188,0.6218,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,30.65579793140214,30.49812547284944,0.10930764392373546,0.11067229729012064,0.232395936903525,0.3305253827182525,0.028281170884564312,-0.005547992318936114,0.44048465220257366,93,ok,0.44804324324324324,0.7525818181818182,1.0,156
discovery,absz_attack_direction__log_exposure_sequence,log_exposure_sequence,absz_attack_direction,all,False,False,unpooled,spearman,0.04911820622319032,-0.04546594794865496,0.13024522446847792,0.1768,0.3488,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,48.8276162748292,44.130475182916655,0.08700183068487573,0.09045861836991682,0.20906898350681585,0.25768111016294254,-0.07069803101086239,-0.11312850496307549,0.4895560459717405,81,ok,0.37086399999999997,0.6679463414634147,1.0,156
discovery,absz_attack_direction__log_exposure_sequence,log_exposure_sequence,absz_attack_direction,all,False,False,pooled,spearman,0.03319265713221174,-0.06101928718147308,0.1176232420092871,0.2627,0.5263,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,48.8276162748292,44.130475182916655,0.08700183068487573,0.09045861836991682,0.20906898350681585,0.25768111016294254,-0.037034622108853284,-0.1051006467761505,0.4895560459717405,92,ok,0.4305,0.7423103999999999,1.0,156
discovery,absz_attack_direction__log_kernel_h0.5_m5,log_kernel_h0.5_m5,absz_attack_direction,all,False,False,unpooled,spearman,0.0743854158372192,-0.020255601762223515,0.16039530007559005,0.0776,0.1571,0.0,9999,500,367,415.0,385.0,45,43,62.0,59.0,13.692415997322993,13.284024243178544,0.16224184367917777,0.16855870023478756,0.22139350966442706,0.23512093945352275,-0.037497742284439146,-0.04977510239832512,0.42892322990244725,80,ok,0.24429599999999996,0.48054117647058825,1.0,156
discovery,absz_attack_direction__log_kernel_h0.5_m5,log_kernel_h0.5_m5,absz_attack_direction,all,False,False,pooled,spearman,0.0412758957547179,-0.04255825053984217,0.12905041647131207,0.217,0.4298,0.0,9999,500,367,415.0,385.0,45,43,62.0,59.0,13.692415997322993,13.284024243178544,0.16224184367917777,0.16855870023478756,0.22139350966442706,0.23512093945352275,-0.01893082359521539,-0.0163434330094523,0.42892322990244725,91,ok,0.39834418604651156,0.7132851063829787,1.0,156
discovery,absz_attack_direction__log_kernel_h0.5_m20,log_kernel_h0.5_m20,absz_attack_direction,all,False,False,unpooled,spearman,0.06319108079447422,-0.023307594271284402,0.14587882410252456,0.1122,0.2269,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,23.826901350719588,23.526818732466708,0.12029140641289206,0.1264007067711813,0.2238721471989046,0.2721682896532839,-0.02596944770857814,-0.01772329062891099,0.437166938943185,80,ok,0.3027934426229508,0.57072,1.0,156
discovery,absz_attack_direction__log_kernel_h0.5_m20,log_kernel_h0.5_m20,absz_attack_direction,all,False,False,pooled,spearman,0.028990284027399615,-0.06216415444700208,0.11281240147627732,0.2938,0.5779,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,23.826901350719588,23.526818732466708,0.12029140641289206,0.1264007067711813,0.2238721471989046,0.2721682896532839,-0.0063058286282040256,-0.011313328174409828,0.437166938943185,90,ok,0.43238490566037735,0.7423103999999999,1.0,156
