scenario,replicate,n_players,coverage90,coverage50,rmse,unpooled_rmse,mean_bias,rank_spearman,mu_mean,mu90_low,mu90_high,tau_mean,true_mu,true_tau,mu_interval_excludes_zero,first_stage_coverage90,missing_fraction,median_observed,median_clusters
heterogeneous,26,30,0.9666666666666667,0.5666666666666667,0.04806959730757746,0.07135589275082645,0.0011779739423144462,0.8607341490545051,0.05606883749523692,0.01761202268753519,0.09398477290824875,0.11250566750675395,0.055,0.09,True,0.9,0.1622618315918869,171.5,33.5
heterogeneous,27,30,0.7666666666666667,0.5,0.05584300530100406,0.07399709744041016,0.017247346311686434,0.6298109010011124,0.07235381244443462,0.042924847955395924,0.1015297853926874,0.07301128746101923,0.055,0.09,True,0.8,0.16025202027119567,218.5,42.5
heterogeneous,28,30,0.8666666666666667,0.5333333333333333,0.05793320393031309,0.08332474135535509,-0.007934873082089993,0.7757508342602891,0.039340452971977594,-0.0023830099159650826,0.077331363857757,0.11002957435410053,0.055,0.09,False,0.8,0.16219044297174745,141.5,28.5
heterogeneous,29,30,0.8666666666666667,0.43333333333333335,0.06286123392349803,0.07883970878698231,-0.01404571655317662,0.8024471635150167,0.05243649854995382,0.012283211080434208,0.09683897087220754,0.12365850589269772,0.055,0.09,True,0.8,0.16700263606760735,155.0,33.0
heterogeneous,30,30,0.9,0.5333333333333333,0.054730462510534615,0.06456620502944252,0.0035743293609875287,0.7873192436040044,0.05888172874419594,0.024076733376387858,0.09105564160053543,0.09394132157600822,0.055,0.09,True,0.9333333333333333,0.16367600201240984,131.0,26.5
heterogeneous,31,30,0.9,0.5333333333333333,0.04635205019787113,0.059131266570615765,0.00582679930749742,0.9038932146829811,0.06015001372680294,0.016582223477267073,0.10725063833151428,0.1273719167704599,0.055,0.09,True,0.8666666666666667,0.16091767002928736,160.5,30.5
heterogeneous,32,30,0.7666666666666667,0.43333333333333335,0.0703522998154718,0.08851143851284889,0.028115489628756322,0.6925472747497218,0.0646671952386912,0.022358046633158886,0.1043110746763302,0.13007115215748263,0.055,0.09,True,0.6666666666666666,0.156695652173913,153.0,31.5
heterogeneous,33,30,0.9,0.36666666666666664,0.05430837663860463,0.07750041085312398,-0.008470861164588632,0.6458286985539488,0.06459996899436567,0.0296037781915257,0.09959725175315425,0.08857465916315488,0.055,0.09,True,0.8,0.16094062708472312,158.5,30.5
heterogeneous,34,30,0.8666666666666667,0.4,0.06719342133980603,0.07506598864404462,0.0038418825112095686,0.6849833147942158,0.06072879489059879,0.028453996613829805,0.09214842297920323,0.08765397664159068,0.055,0.09,True,0.8333333333333334,0.1697422172136921,191.5,39.0
heterogeneous,35,30,0.8666666666666667,0.5666666666666667,0.060370732321338855,0.08220953995938624,0.011806776504183084,0.7441601779755282,0.07974747177207153,0.04882637842416959,0.11170827505223987,0.07925508712531666,0.055,0.09,True,0.9,0.15692363902082573,135.0,28.0
heterogeneous,36,30,1.0,0.6333333333333333,0.036272323627095766,0.05718457803617488,-0.005178537690908637,0.9110122358175751,0.0658661039979342,0.026987628067587435,0.10311757423182898,0.11598447106172961,0.055,0.09,True,0.9666666666666667,0.1583029919265474,162.5,32.5
