stage,specification,x,y,restriction,high_information,negative_control,method,bins,baseline_group,n,mean_followup_percentile,mean_percentile_ci90_low,mean_percentile_ci90_high,top_quartile_followup_rate
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,4,46,0.5421908335172516,0.4781100566468035,0.6029316559994116,0.2608695652173913
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,5,53,0.5110142706637295,0.45297066053698565,0.5702423139546021,0.22641509433962265
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,6,53,0.4561983207227915,0.40076301759090766,0.5174344730709063,0.16981132075471697
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,7,47,0.5473773265651438,0.4747380926665947,0.6142077978183389,0.3191489361702128
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,8,47,0.4562587752457069,0.39033912949562594,0.5192659394463044,0.19148936170212766
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,9,48,0.5106105470953186,0.4418905104342921,0.574016497461929,0.25
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,10,33,0.41375685791929445,0.32115571963287703,0.5078654565964211,0.21212121212121213
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,4,1,126,0.49179491311471013,0.44971597776166305,0.533248730964467,0.23015873015873015
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,4,2,110,0.5132133517920321,0.47243116443624067,0.5571012151976619,0.23636363636363636
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,4,3,108,0.4696528169455411,0.42106050636084486,0.5193292912201541,0.23148148148148148
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,4,4,121,0.5009928542461999,0.45427836276936423,0.5453063165107467,0.2892561983471074
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,1,50,0.45049069373942474,0.38472419627749577,0.5186446700507614,0.18
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,2,49,0.5444076107600401,0.47471597776166297,0.6091595013639974,0.2857142857142857
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,3,50,0.4936717428087987,0.433502538071066,0.5530050761421319,0.22
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,4,43,0.5397434383976705,0.4670562310628419,0.610030299453036,0.3023255813953488
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,5,44,0.4846946623596369,0.4180010767574219,0.5534686971235193,0.18181818181818182
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,6,45,0.5110171084790375,0.4365914645610077,0.579488625681519,0.28888888888888886
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,7,42,0.4235758601240834,0.34784465393602454,0.504443638707598,0.21428571428571427
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,8,46,0.5137202972118002,0.4495438828808945,0.578505480762157,0.2391304347826087
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,9,45,0.4883436736228615,0.41828351193833424,0.5627674374882498,0.28888888888888886
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,10,10,51,0.4892173451444876,0.4104160445904249,0.5596529644006504,0.27450980392156865
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,4,1,106,0.5153561280847939,0.4731068224627271,0.5589710436420522,0.25471698113207547
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,4,2,130,0.4913835741246909,0.45527528309254195,0.528137446310035,0.2
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,4,3,124,0.5152693630260357,0.47511666939577535,0.553586048796463,0.24193548387096775
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,4,4,105,0.4833051325437112,0.43798646362098137,0.5338248328096044,0.21904761904761905
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,1,36,0.5352509870276367,0.4423246850911826,0.6236722128219591,0.4166666666666667
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,2,43,0.4902412151261166,0.4266320387203401,0.5524967536300318,0.18604651162790697
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,3,53,0.5115250774191488,0.45229384158605496,0.5688359991060882,0.20754716981132076
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,4,48,0.5074027072758037,0.4524217428087986,0.5632649464184998,0.16666666666666666
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,5,56,0.47664370316654575,0.4114182982837805,0.5394503867536863,0.19642857142857142
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,6,52,0.5081348431602238,0.4541194845763374,0.5628676949108421,0.21153846153846154
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,7,51,0.48991407053515146,0.43244749676520355,0.5508111874191302,0.19607843137254902
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,8,44,0.5414167051222889,0.4663897861867405,0.6172146592831872,0.3409090909090909
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,9,43,0.5057057411561012,0.43243025223310905,0.5782296462440482,0.2558139534883721
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,10,10,39,0.45292637424617116,0.38461538461538464,0.5268579981777951,0.15384615384615385
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,4,1,120,0.5070783981951494,0.4621439650310209,0.5531902143260011,0.2916666666666667
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,4,2,116,0.5136968317871521,0.4691471206021354,0.5526503880039676,0.2413793103448276
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,4,3,106,0.5345433068352329,0.49221259138652107,0.5820036394981324,0.27358490566037735
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,4,4,123,0.46421938838677734,0.42196910293976037,0.5096034006025338,0.21138211382113822
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,1,51,0.49087621512225865,0.4173816396270861,0.5646362098138747,0.27450980392156865
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,2,45,0.49605188945290474,0.42223162248542956,0.5673115247226922,0.26666666666666666
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,3,48,0.5469190637337845,0.47465454032712917,0.6190443457416808,0.3541666666666667
