grouping,group,field,field_in_schema,n_all_pitches,populated_all_pitches,pct_all_pitches,n_swings,populated_swings,pct_swings,n_whiffs,populated_whiffs,pct_whiffs,n_contact,populated_contact,pct_contact
pitch_type,FS,intercept_ball_minus_batter_pos_x_inches,True,74407,36932,49.63511497574153,38614,36932,95.64406691873414,12665,12151,95.94157125937623,25949,24781,95.4988631546495
pitch_type,FS,intercept_ball_minus_batter_pos_y_inches,True,74407,36932,49.63511497574153,38614,36932,95.64406691873414,12665,12151,95.94157125937623,25949,24781,95.4988631546495
pitch_type,FS,miss_distance,True,74407,12182,16.372115526764954,38614,12182,31.54814316051173,12665,12182,96.18634030793525,25949,0,0.0
pitch_type,KC,bat_speed,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,swing_length,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,attack_angle,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,attack_direction,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,swing_path_tilt,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,intercept_ball_minus_batter_pos_x_inches,True,41383,17611,42.556122079114616,18486,17611,95.26668830466299,6149,5851,95.15368352577654,12337,11760,95.32301207749047
pitch_type,KC,intercept_ball_minus_batter_pos_y_inches,True,41383,17611,42.556122079114616,18486,17611,95.26668830466299,6149,5851,95.15368352577654,12337,11760,95.32301207749047
pitch_type,KC,miss_distance,True,41383,5878,14.203900152236425,18486,5878,31.79703559450395,6149,5878,95.59277931370954,12337,0,0.0
pitch_type,KN,bat_speed,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,swing_length,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,attack_angle,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,attack_direction,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,swing_path_tilt,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,intercept_ball_minus_batter_pos_x_inches,True,1675,670,40.0,721,670,92.92649098474341,181,169,93.37016574585635,540,501,92.77777777777777
pitch_type,KN,intercept_ball_minus_batter_pos_y_inches,True,1675,670,40.0,721,670,92.92649098474341,181,169,93.37016574585635,540,501,92.77777777777777
pitch_type,KN,miss_distance,True,1675,169,10.08955223880597,721,169,23.439667128987516,181,169,93.37016574585635,540,0,0.0
pitch_type,PO,bat_speed,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,swing_length,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,attack_angle,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,attack_direction,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,swing_path_tilt,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,intercept_ball_minus_batter_pos_x_inches,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,intercept_ball_minus_batter_pos_y_inches,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,miss_distance,True,171,0,0.0,0,0,,0,0,,0,0,
pitch_type,SC,bat_speed,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,swing_length,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,attack_angle,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,attack_direction,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,swing_path_tilt,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,intercept_ball_minus_batter_pos_x_inches,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,intercept_ball_minus_batter_pos_y_inches,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,miss_distance,True,178,14,7.865168539325842,68,14,20.58823529411765,14,14,100.0,54,0,0.0
pitch_type,SI,bat_speed,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,swing_length,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,attack_angle,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,attack_direction,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,swing_path_tilt,True,387352,169304,43.708048493360046,177244,169304,95.52029969984879,21077,20292,96.2755610380984,156167,149012,95.41836623614464
pitch_type,SI,intercept_ball_minus_batter_pos_x_inches,True,387352,169177,43.67526177740143,177244,169177,95.44864706280607,21077,20215,95.91023390425582,156167,148962,95.38634922871029
pitch_type,SI,intercept_ball_minus_batter_pos_y_inches,True,387352,169177,43.67526177740143,177244,169177,95.44864706280607,21077,20215,95.91023390425582,156167,148962,95.38634922871029
pitch_type,SI,miss_distance,True,387352,20125,5.19553274540986,177244,20125,11.354404098305162,21077,20120,95.45950562224226,156167,5,0.0032017007434349126
pitch_type,SL,bat_speed,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,swing_length,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,attack_angle,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,attack_direction,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,swing_path_tilt,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,intercept_ball_minus_batter_pos_x_inches,True,345606,161613,46.762208989427265,168802,161613,95.7411642042156,53888,51714,95.96570665083135,114914,109899,95.63586682214526
pitch_type,SL,intercept_ball_minus_batter_pos_y_inches,True,345606,161613,46.762208989427265,168802,161613,95.7411642042156,53888,51714,95.96570665083135,114914,109899,95.63586682214526
pitch_type,SL,miss_distance,True,345606,51739,14.970515558178967,168802,51739,30.65070319072049,53888,51738,96.01024346793349,114914,1,0.0008702159876081243
pitch_type,ST,bat_speed,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,swing_length,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,attack_angle,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,attack_direction,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,swing_path_tilt,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,intercept_ball_minus_batter_pos_x_inches,True,184542,80005,43.35327459331751,83753,80005,95.52493642018793,25119,23999,95.5412237748318,58634,56006,95.51795886345806
pitch_type,ST,intercept_ball_minus_batter_pos_y_inches,True,184542,80005,43.35327459331751,83753,80005,95.52493642018793,25119,23999,95.5412237748318,58634,56006,95.51795886345806
pitch_type,ST,miss_distance,True,184542,24092,13.055022704858514,83753,24092,28.765536756892292,25119,24089,95.89951829292568,58634,3,0.005116485315687144
pitch_type,SV,bat_speed,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,swing_length,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,attack_angle,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,attack_direction,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,swing_path_tilt,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,intercept_ball_minus_batter_pos_x_inches,True,11591,4681,40.38478129583297,4863,4681,96.25745424635,1352,1300,96.15384615384616,3511,3381,96.29735118199943
pitch_type,SV,intercept_ball_minus_batter_pos_y_inches,True,11591,4681,40.38478129583297,4863,4681,96.25745424635,1352,1300,96.15384615384616,3511,3381,96.29735118199943
pitch_type,SV,miss_distance,True,11591,1308,11.284617375549995,4863,1308,26.89697717458359,1352,1308,96.74556213017752,3511,0,0.0
pitch_type,UN,bat_speed,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,swing_length,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,attack_angle,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,attack_direction,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,swing_path_tilt,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,intercept_ball_minus_batter_pos_x_inches,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,intercept_ball_minus_batter_pos_y_inches,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,miss_distance,True,27,0,0.0,1,0,0.0,0,0,,1,0,0.0
pitch_type,nan,bat_speed,True,9269,86,0.9278239292264537,529,86,16.257088846880908,119,24,20.168067226890756,410,62,15.121951219512194
pitch_type,nan,swing_length,True,9269,86,0.9278239292264537,529,86,16.257088846880908,119,24,20.168067226890756,410,62,15.121951219512194
pitch_type,nan,attack_angle,True,9269,86,0.9278239292264537,529,86,16.257088846880908,119,24,20.168067226890756,410,62,15.121951219512194
pitch_type,nan,attack_direction,True,9269,86,0.9278239292264537,529,86,16.257088846880908,119,24,20.168067226890756,410,62,15.121951219512194
