grouping,group,field,field_in_schema,n_all_pitches,populated_all_pitches,pct_all_pitches,n_swings,populated_swings,pct_swings,n_whiffs,populated_whiffs,pct_whiffs,n_contact,populated_contact,pct_contact
pitch_type,KN,swing_path_tilt,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,intercept_ball_minus_batter_pos_x_inches,True,1675,670,40.0,721,670,92.92649098474341,181,169,93.37016574585635,540,501,92.77777777777777
pitch_type,KN,intercept_ball_minus_batter_pos_y_inches,True,1675,670,40.0,721,670,92.92649098474341,181,169,93.37016574585635,540,501,92.77777777777777
pitch_type,KN,miss_distance,True,1675,169,10.08955223880597,721,169,23.439667128987516,181,169,93.37016574585635,540,0,0.0
pitch_type,PO,bat_speed,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,swing_length,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,attack_angle,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,attack_direction,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,swing_path_tilt,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,intercept_ball_minus_batter_pos_x_inches,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,intercept_ball_minus_batter_pos_y_inches,True,171,1,0.5847953216374269,0,0,,0,0,,0,0,
pitch_type,PO,miss_distance,True,171,0,0.0,0,0,,0,0,,0,0,
pitch_type,SC,bat_speed,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,swing_length,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,attack_angle,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,attack_direction,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,swing_path_tilt,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,intercept_ball_minus_batter_pos_x_inches,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,intercept_ball_minus_batter_pos_y_inches,True,178,66,37.07865168539326,68,66,97.05882352941177,14,14,100.0,54,52,96.29629629629629
pitch_type,SC,miss_distance,True,178,14,7.865168539325842,68,14,20.58823529411765,14,14,100.0,54,0,0.0
pitch_type,SI,bat_speed,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,swing_length,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,attack_angle,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,attack_direction,True,387352,169305,43.70830665647783,177244,169305,95.52086389384125,21077,20292,96.2755610380984,156167,149013,95.41900657629333
pitch_type,SI,swing_path_tilt,True,387352,169304,43.708048493360046,177244,169304,95.52029969984879,21077,20292,96.2755610380984,156167,149012,95.41836623614464
